Day,AnemoneID,Buoyant weight (g),Species,Net dry weight (g),Net ashed weight (g),Faeces Ash Free Dry Mass (g),Season,Year,Month,Ash Free Dry Mass of feaces (g) per (g) of Buoyant Weight,AnemoneAFDM (g),Ash Free Dry Mass faecesper (g) Ash Free Dry Mass,Boxcox
7,17,2.948,Urticinopsis antarctica,0.0193,0.0159,0.0034,Summer,2022,February,0.001153324,14.1493744,8.15E-05,29.44586626
7,18,1.849,Urticinopsis antarctica,0.0391,0.0307,0.0084,Summer,2022,February,0.004542996,8.9370372,0.000508334,14.83640988
7,19,0.864,Isotealia antarctica,0.0571,0.0456,0.0115,Summer,2022,February,0.013310185,4.2653792,0.003120516,8.667781482
7,20,0.971,Urticinopsis antarctica,0.1472,0.1161,0.0311,Summer,2022,February,0.032028836,4.7728588,0.006710619,5.587652924
7,22,0.813,Isotealia antarctica,0.0045,0.0033,0.0013,Summer,2022,February,0.001599016,4.0234964,0.00039742,25.00769105
7,23,0.991,Isotealia antarctica,0.0529,0.0424,0.0105,Summer,2022,February,0.010595358,4.8677148,0.00217666,9.714986072
7,24,1.265,Urticinopsis antarctica,0.014,0.01,0.004,Summer,2022,February,0.003162055,6.167242,0.000512718,17.78342019
7,25,1.205,Isotealia antarctica,0.0471,0.0383,0.0088,Summer,2022,February,0.007302905,5.882674,0.001241426,11.70178662
1,Y16,0.990057661,Urticinopsis antarctica,0.1475,0.1176,0.0299,Winter,2023,September,0.028675863,4.863245476,0.005896446,5.905297092
1,Y11,1.807601482,Isotealia antarctica,0.0334,0.0226,0.0108,Winter,2023,September,0.005232834,8.740692308,0.000598675,13.82392984
1,Y7,1.455211129,Urticinopsis antarctica,0.1512,0.1361,0.0151,Winter,2023,September,0.009299652,7.069375345,0.001315484,10.36971096
1,Y21,1.040279684,Urticinopsis antarctica,0.0323,0.0211,0.0112,Winter,2023,September,0.010131881,5.101438484,0.001986083,9.934704636
1,Y3,0.651908753,Isotealia antarctica,0.014,0.0042,0.0098,Winter,2023,September,0.015798719,3.259472832,0.004847017,7.955895364
1,G3,1.644920906,Isotealia antarctica,0.026,0.0199,0.0061,Winter,2023,September,0.003278362,7.969130874,0.000411383,17.46511889
1,G2,0.876104311,Isotealia antarctica,0.0067,0.0052,0.0015,Winter,2023,September,0.001666022,4.322787527,0.000385405,24.49963612
1,Y5,2.294752865,Isotealia antarctica,0.0575,0.0452,0.0123,Winter,2023,September,0.00460261,11.05115389,0.000416482,14.74001453
1,Y10,1.327920422,Urticinopsis antarctica,0.0138,0.0108,0.003,Winter,2023,September,0.002048178,6.465660976,0.000316778,22.0961267
1,Y20,0.975009945,Isotealia antarctica,0.0658,0.0412,0.0246,Winter,2023,September,0.02402596,4.791877166,0.005013893,6.451484009
1,G1,0.607017998,Urticinopsis antarctica,0.0943,0.0849,0.0094,Winter,2023,September,0.016659874,3.046564959,0.005468413,7.747545648
1,Y6,2.471055774,Urticinopsis antarctica,0.1168,0.0971,0.0197,Winter,2023,September,0.006810438,11.88732332,0.000572916,12.11748465
1,Y8,0.592107671,Urticinopsis antarctica,0.0068,0.0042,0.0026,Winter,2023,September,0.004765349,2.975848264,0.001601341,14.48613885
1,Y2,3.010021939,Urticinopsis antarctica,0.0834,0.0651,0.0183,Winter,2023,September,0.005132021,14.44353205,0.000355316,13.95904758
1,G6,3.982960377,Urticinopsis antarctica,0.7765,0.685,0.0915,Winter,2023,September,0.019137637,19.05798448,0.001004179,7.228627468
1,G4,1.249959289,Urticinopsis antarctica,0.065,0.0525,0.0125,Winter,2023,September,0.009141874,6.095906917,0.001499674,10.45881267
1,Y1,0.853877948,Urticinopsis antarctica,0.8477,0.7405,0.1072,Winter,2023,September,0.122853324,4.21737233,0.029130301,2.853031353
1,G5,1.492270253,Urticinopsis antarctica,0.0502,0.0289,0.0213,Winter,2023,September,0.012754432,7.245139356,0.001760412,8.854610023
1,Y13,3.203615247,Urticinopsis antarctica,0.09,0.0865,0.0035,Winter,2023,September,0.000919198,15.3617064,5.98E-05,32.98340327
2,Y20,0.975009945,Isotealia antarctica,0.0234,0.0163,0.0071,Winter,2023,September,0.006934322,4.791877166,0.001447099,12.00875536
2,Y16,0.990057661,Urticinopsis antarctica,0.0052,0.0022,0.003,Winter,2023,September,0.002877177,4.863245476,0.000591617,18.64303908
2,G3,1.644920906,Isotealia antarctica,0.0058,0.0045,0.0013,Winter,2023,September,0.000698667,7.969130874,8.77E-05,37.8324864
2,Y12,1.691655808,Urticinopsis antarctica,0.0096,0.0068,0.0028,Winter,2023,September,0.001459046,8.190785164,0.000178133,26.17975077
2,G2,0.876104311,Isotealia antarctica,0.0039,0.0025,0.0014,Winter,2023,September,0.001554954,4.322787527,0.000359711,25.35953156
2,Y11,1.807601482,Isotealia antarctica,0.0107,0.0075,0.0032,Winter,2023,September,0.001550469,8.740692308,0.000177385,25.39618349
2,Y21,1.040279684,Urticinopsis antarctica,0.0061,0.0038,0.0023,Winter,2023,September,0.002080654,5.101438484,0.000407856,21.9230042
2,Y7,1.455211129,Urticinopsis antarctica,0.0096,0.0079,0.0017,Winter,2023,September,0.001046981,7.069375345,0.000148101,30.90513178
2,Y5,2.294752865,Isotealia antarctica,0.0083,0.0061,0.0022,Winter,2023,September,0.000823231,11.05115389,7.45E-05,34.8529178
2,G1,0.607017998,Urticinopsis antarctica,0.0069,0.0046,0.0023,Winter,2023,September,0.004076352,3.046564959,0.001338016,15.66261095
2,Y3,0.651908753,Isotealia antarctica,0.0049,0.0036,0.0013,Winter,2023,September,0.002095748,3.259472832,0.000642971,21.84391459
2,Y10,1.327920422,Urticinopsis antarctica,0.0107,0.0077,0.003,Winter,2023,September,0.002048178,6.465660976,0.000316778,22.0961267
2,G4,1.249959289,Urticinopsis antarctica,0.0374,0.0302,0.0072,Winter,2023,September,0.005265719,6.095906917,0.000863812,13.78069625
2,Y1,0.853877948,Urticinopsis antarctica,0.0639,0.0486,0.0153,Winter,2023,September,0.017534103,4.21737233,0.00415759,7.551934652
2,Y6,2.471055774,Urticinopsis antarctica,0.094,0.0775,0.0165,Winter,2023,September,0.005704174,11.88732332,0.000479854,13.24047659
2,Y13,3.203615247,Urticinopsis antarctica,0.0975,0.0878,0.0097,Winter,2023,September,0.002547492,15.3617064,0.000165834,19.81269644
2,G5,1.492270253,Urticinopsis antarctica,0.0141,0.0098,0.0043,Winter,2023,September,0.002574838,7.245139356,0.000355388,19.70720549
2,G6,3.982960377,Urticinopsis antarctica,0.1316,0.1061,0.0255,Winter,2023,September,0.00533344,19.05798448,0.000279853,13.69292701
2,Y2,3.010021939,Urticinopsis antarctica,0.0806,0.0622,0.0184,Winter,2023,September,0.005160064,14.44353205,0.000357258,13.92106483
2,Y8,0.592107671,Urticinopsis antarctica,0.0116,0.0067,0.0049,Winter,2023,September,0.008980851,2.975848264,0.003017913,10.55215725
3,Y10,1.327920422,Urticinopsis antarctica,0.0551,0.044,0.0111,Winter,2023,September,0.007578258,6.465660976,0.001172078,11.48722973
3,G2,0.876104311,Isotealia antarctica,0.0052,0.0025,0.0027,Winter,2023,September,0.002998839,4.322787527,0.000693728,18.26095242
3,G3,1.644920906,Isotealia antarctica,0.0432,0.0273,0.0159,Winter,2023,September,0.008545239,7.969130874,0.001072292,10.81777372
3,Y12,1.691655808,Urticinopsis antarctica,0.0616,0.0482,0.0134,Winter,2023,September,0.006982577,8.190785164,0.000852492,11.96718854
3,G1,0.607017998,Urticinopsis antarctica,0.019,0.0143,0.0047,Winter,2023,September,0.008329937,3.046564959,0.002734206,10.95668413
3,Y11,1.807601482,Isotealia antarctica,0.0238,0.0184,0.0054,Winter,2023,September,0.002616417,8.740692308,0.000299338,19.54998907
3,Y5,2.294752865,Isotealia antarctica,0.0373,0.0289,0.0084,Winter,2023,September,0.003143246,11.05115389,0.000284427,17.8365483
3,Y3,0.651908753,Isotealia antarctica,0.0126,0.0092,0.0034,Winter,2023,September,0.005481188,3.259472832,0.001681618,13.50711666
3,Y21,1.040279684,Urticinopsis antarctica,0.0101,0.0065,0.0036,Winter,2023,September,0.003256676,5.101438484,0.000638384,17.52317197
3,Y20,0.975009945,Isotealia antarctica,0.071,0.053,0.018,Winter,2023,September,0.017579971,4.791877166,0.003668702,7.54207632
3,Y7,1.455211129,Urticinopsis antarctica,0.0084,0.0067,0.0017,Winter,2023,September,0.001046981,7.069375345,0.000148101,30.90513178
3,Y16,0.990057661,Urticinopsis antarctica,0.0485,0.0375,0.011,Winter,2023,September,0.010549649,4.863245476,0.002169261,9.736009631
3,Y13,3.203615247,Urticinopsis antarctica,0.0318,0.0259,0.0059,Winter,2023,September,0.001549506,15.3617064,0.000100868,25.40407398
3,Y2,3.010021939,Urticinopsis antarctica,0.122,0.0924,0.0296,Winter,2023,September,0.008300973,14.44353205,0.000574719,10.97578268
3,G6,3.982960377,Urticinopsis antarctica,0.0492,0.0338,0.0154,Winter,2023,September,0.003220979,19.05798448,0.000169009,17.62000606
3,Y1,0.853877948,Urticinopsis antarctica,0.0502,0.0389,0.0113,Winter,2023,September,0.012950024,4.21737233,0.003070638,8.78748736
3,Y6,2.471055774,Urticinopsis antarctica,0.0239,0.0191,0.0048,Winter,2023,September,0.001659396,11.88732332,0.000139594,24.54850114
3,G5,1.492270253,Urticinopsis antarctica,0.0161,0.0127,0.0034,Winter,2023,September,0.002035919,7.245139356,0.000281005,22.16255122
3,G4,1.249959289,Urticinopsis antarctica,0.02,0.0154,0.0046,Winter,2023,September,0.00336421,6.095906917,0.00055188,17.24084118
3,Y8,0.592107671,Urticinopsis antarctica,0.0056,0.0041,0.0015,Winter,2023,September,0.00274924,2.975848264,0.000923851,19.07188736
4,Y7,1.455211129,Urticinopsis antarctica,0.0379,0.0304,0.0075,Winter,2023,September,0.004619032,7.069375345,0.000653386,14.71378868
4,Y3,0.651908753,Isotealia antarctica,0.0246,0.0176,0.007,Winter,2023,September,0.011284799,3.259472832,0.003462155,9.413542463
4,Y12,1.691655808,Urticinopsis antarctica,0.0479,0.0374,0.0105,Winter,2023,September,0.005471422,8.190785164,0.000667997,13.51916579
4,Y10,1.327920422,Urticinopsis antarctica,0.0273,0.0213,0.006,Winter,2023,September,0.004096356,6.465660976,0.000633556,15.62432103
4,Y21,1.040279684,Urticinopsis antarctica,0.0004,-0.0004,0.0008,Winter,2023,September,0.000723706,5.101438484,0.000141863,37.17225548
4,G2,0.876104311,Isotealia antarctica,0.0047,0.0029,0.0018,Winter,2023,September,0.001999226,4.322787527,0.000462485,22.36500782
4,Y5,2.294752865,Isotealia antarctica,0.0028,0.0014,0.0014,Winter,2023,September,0.000523874,11.05115389,4.74E-05,43.69045601
4,Y16,0.990057661,Urticinopsis antarctica,0.0238,0.0183,0.0055,Winter,2023,September,0.005274824,4.863245476,0.00108463,13.76879752
4,Y20,0.975009945,Isotealia antarctica,0.004,0.0029,0.0011,Winter,2023,September,0.001074332,4.791877166,0.000224199,30.50919468
4,G1,0.607017998,Urticinopsis antarctica,0.0255,0.0209,0.0046,Winter,2023,September,0.008152704,3.046564959,0.002676032,11.07513841
4,Y11,1.807601482,Isotealia antarctica,0.0214,0.0163,0.0051,Winter,2023,September,0.002471061,8.740692308,0.000282708,20.11677075
4,G3,1.644920906,Isotealia antarctica,0.0175,0.0137,0.0038,Winter,2023,September,0.002042258,7.969130874,0.000256271,22.12812912
4,G6,3.982960377,Urticinopsis antarctica,0.0929,0.0682,0.0247,Winter,2023,September,0.005166116,19.05798448,0.000271074,13.91290832
4,Y2,3.010021939,Urticinopsis antarctica,0.0551,0.0382,0.0169,Winter,2023,September,0.004739407,14.44353205,0.000328134,14.525731
4,Y8,0.592107671,Urticinopsis antarctica,0.0034,0.001,0.0024,Winter,2023,September,0.004398784,2.975848264,0.001478161,15.07765083
4,G5,1.492270253,Urticinopsis antarctica,0.0059,0.0038,0.0021,Winter,2023,September,0.001257479,7.245139356,0.000173562,28.20003384
4,Y1,0.853877948,Urticinopsis antarctica,0.0338,0.0223,0.0115,Winter,2023,September,0.013179228,4.21737233,0.003124986,8.710739264
4,G4,1.249959289,Urticinopsis antarctica,0.0037,0,0.0037,Winter,2023,September,0.002705995,6.095906917,0.000443904,19.22367896
4,Y6,2.471055774,Urticinopsis antarctica,0.1674,0.1489,0.0185,Winter,2023,September,0.006395589,11.88732332,0.000538018,12.50430985
4,Y13,3.203615247,Urticinopsis antarctica,0.0233,0.0187,0.0046,Winter,2023,September,0.001208089,15.3617064,7.86E-05,28.77070705
5,G6,3.982960377,Urticinopsis antarctica,0.0171,0.0129,0.0042,Winter,2023,September,0.000878449,19.05798448,4.61E-05,33.73973938
5,Y6,2.471055774,Urticinopsis antarctica,0.0876,0.0687,0.0189,Winter,2023,September,0.006533872,11.88732332,0.00054965,12.37128149
5,Y2,3.010021939,Urticinopsis antarctica,0.0969,0.0718,0.0251,Winter,2023,September,0.007039001,14.44353205,0.000487346,11.91912808
5,Y1,0.853877948,Urticinopsis antarctica,0.0222,0.0155,0.0067,Winter,2023,September,0.007678333,4.21737233,0.001820644,11.41212522
5,G4,1.249959289,Urticinopsis antarctica,0.0122,0.009,0.0032,Winter,2023,September,0.00234032,6.095906917,0.000383917,20.67104241
5,Y8,0.592107671,Urticinopsis antarctica,0.0041,0.002,0.0021,Winter,2023,September,0.003848936,2.975848264,0.001293391,16.11868674
5,Y5,2.294752865,Isotealia antarctica,0.0096,0.0063,0.0033,Winter,2023,September,0.001234846,11.05115389,0.000111739,28.45729398
5,G1,0.607017998,Urticinopsis antarctica,0.0034,-0.0002,0.0036,Winter,2023,September,0.006380377,3.046564959,0.002094286,12.51920727
5,Y7,1.455211129,Urticinopsis antarctica,0.0101,0.0059,0.0042,Winter,2023,September,0.002586658,7.069375345,0.000365896,19.66212688
5,G3,1.644920906,Isotealia antarctica,0.0109,0.0062,0.0047,Winter,2023,September,0.002525951,7.969130874,0.000316967,19.89699722
5,Y20,0.975009945,Isotealia antarctica,0.0111,0.0057,0.0054,Winter,2023,September,0.005273991,4.791877166,0.001100611,13.76988483
5,Y21,1.040279684,Urticinopsis antarctica,0.0143,0.0083,0.006,Winter,2023,September,0.005427793,5.101438484,0.001063973,13.57339106
5,Y3,0.651908753,Isotealia antarctica,0.0074,0.0056,0.0018,Winter,2023,September,0.002901806,3.259472832,0.000890269,18.56375435
5,Y16,0.990057661,Urticinopsis antarctica,0.0165,0.0113,0.0052,Winter,2023,September,0.004987107,4.863245476,0.001025469,14.16040442
5,Y10,1.327920422,Urticinopsis antarctica,0.8116,0.7271,0.0845,Winter,2023,September,0.05769034,6.465660976,0.008922574,4.163402999
5,Y12,1.691655808,Urticinopsis antarctica,3.7726,3.2181,0.5545,Winter,2023,September,0.288943208,8.190785164,0.035276619,1.860346129
5,G2,0.876104311,Isotealia antarctica,0.0106,0.0063,0.0043,Winter,2023,September,0.004775929,4.322787527,0.001104826,14.47008456
5,Y11,1.807601482,Isotealia antarctica,0.0078,0.0051,0.0027,Winter,2023,September,0.001308209,8.740692308,0.000149669,27.6478544
6,Y16,0.990057661,Urticinopsis antarctica,0.1925,0.1416,0.0509,Winter,2023,September,0.048816102,4.863245476,0.010037762,4.52604066
6,Y7,1.455211129,Urticinopsis antarctica,0.0177,0.0138,0.0039,Winter,2023,September,0.002401897,7.069375345,0.000339761,20.40435215
6,G3,1.644920906,Isotealia antarctica,0.0435,0.0332,0.0103,Winter,2023,September,0.005535595,7.969130874,0.00069463,13.44057491
6,Y12,1.691655808,Urticinopsis antarctica,0.0152,0.0097,0.0055,Winter,2023,September,0.002865983,8.190785164,0.000349903,18.67941174
6,Y11,1.807601482,Isotealia antarctica,0.0162,0.0123,0.0039,Winter,2023,September,0.001889635,8.740692308,0.000216188,23.00440674
6,G1,0.607017998,Urticinopsis antarctica,0.0119,0.0092,0.0027,Winter,2023,September,0.004785283,3.046564959,0.001570714,14.45593499
6,Y10,1.327920422,Urticinopsis antarctica,0.044,0.0354,0.0086,Winter,2023,September,0.005871443,6.465660976,0.000908096,13.05051275
6,Y5,2.294752865,Isotealia antarctica,0.0122,0.009,0.0032,Winter,2023,September,0.001197427,11.05115389,0.000108353,28.8985117
6,Y21,1.040279684,Urticinopsis antarctica,0.004,0.0031,0.0009,Winter,2023,September,0.000814169,5.101438484,0.000159596,35.04634395
6,G5,1.492270253,Urticinopsis antarctica,0.0121,0.0085,0.0036,Winter,2023,September,0.002155679,7.245139356,0.000297535,21.53812804
6,Y8,0.592107671,Urticinopsis antarctica,0.0066,0.005,0.0016,Winter,2023,September,0.002932523,2.975848264,0.000985441,18.46627448
6,Y2,3.010021939,Urticinopsis antarctica,0.0139,0.0085,0.0054,Winter,2023,September,0.001514367,14.44353205,0.000104847,25.69711875
6,G4,1.249959289,Urticinopsis antarctica,0.0061,0.0043,0.0018,Winter,2023,September,0.00131643,6.095906917,0.000215953,27.56138988
6,Y13,3.203615247,Urticinopsis antarctica,0.0053,0.0038,0.0015,Winter,2023,September,0.000393942,15.3617064,2.56E-05,50.38298071
6,Y1,0.853877948,Urticinopsis antarctica,0.0081,0.0054,0.0027,Winter,2023,September,0.003094253,4.21737233,0.000733692,17.97720164
6,Y6,2.471055774,Urticinopsis antarctica,0.0601,0.0567,0.0034,Winter,2023,September,0.001175405,11.88732332,9.89E-05,29.16797191
6,G6,3.982960377,Urticinopsis antarctica,0.0347,0.0206,0.0141,Winter,2023,September,0.002949079,19.05798448,0.000154742,18.4143671
7,Y5,2.294752865,Isotealia antarctica,0.0235,0.0211,0.0024,Winter,2023,September,0.00089807,11.05115389,8.13E-05,33.36913166
7,G3,1.644920906,Isotealia antarctica,0.0208,0.0151,0.0057,Winter,2023,September,0.003063388,7.969130874,0.000384407,18.06753882
7,G1,0.607017998,Urticinopsis antarctica,0.0101,0.0078,0.0023,Winter,2023,September,0.004076352,3.046564959,0.001338016,15.66261095
7,Y10,1.327920422,Urticinopsis antarctica,0.0089,0.0072,0.0017,Winter,2023,September,0.001160634,6.465660976,0.000179507,29.35299061
7,Y7,1.455211129,Urticinopsis antarctica,0.0094,0,0.0094,Winter,2023,September,0.005789187,7.069375345,0.000818911,13.14290022
7,Y21,1.040279684,Urticinopsis antarctica,0.0047,0.0037,0.001,Winter,2023,September,0.000904632,5.101438484,0.000177329,33.24788524
7,Y3,0.651908753,Isotealia antarctica,0.0021,0.0004,0.0017,Winter,2023,September,0.002740594,3.259472832,0.000840809,19.10194757
7,Y2,3.010021939,Urticinopsis antarctica,0.2883,0.2317,0.0566,Winter,2023,September,0.015872807,14.44353205,0.001098956,7.937306157
7,Y6,2.471055774,Urticinopsis antarctica,0.1337,0.1061,0.0276,Winter,2023,September,0.009541527,11.88732332,0.000802664,10.23743266
7,Y1,0.853877948,Urticinopsis antarctica,0.068,0.0516,0.0164,Winter,2023,September,0.018794725,4.21737233,0.004456501,7.294272979
7,Y11,1.807601482,Isotealia antarctica,0.0065,0.005,0.0015,Winter,2023,September,0.000726783,8.740692308,8.31E-05,37.09348345
7,Y16,0.990057661,Urticinopsis antarctica,0.0505,0.0359,0.0146,Winter,2023,September,0.014002261,4.863245476,0.002879201,8.450860168
7,Y20,0.975009945,Isotealia antarctica,0.0039,0.0026,0.0013,Winter,2023,September,0.001269665,4.791877166,0.000264962,28.06437831
7,Y12,1.691655808,Urticinopsis antarctica,0.0176,0.0131,0.0045,Winter,2023,September,0.002344895,8.190785164,0.000286285,20.65086748
7,G2,0.876104311,Isotealia antarctica,0.0013,0.0007,0.0006,Winter,2023,September,0.000666409,4.322787527,0.000154162,38.73732017
